name|university
Gianfranco Lombardo|Umeå University
W. Hower|Johannes Gutenberg University of Mainz
Mikhail Malyutov|University of Parma
Marya Ershova|King's College London
Jonathan Rouzaud-Cornabas|University of Geneva
Angelo Brayner|King Saud University
Dino Lopez Pacheco|Hannover Medical School
Elke A. Rundensteiner|Wuhan University
Amel Bouzeghoub|Ruprecht Karl University of Heidelberg
Muhammad Hoque|Paris Descartes University
Mustapha Bekhti|École Polytechnique
Jinchuan Chen|Huazhong University of Science and Technology
Stephan Heuel|University of Auckland
Mohamed M. Sabry|Vita Salute San Raffaele University
Manuel Laguna|Lehigh University
Thomas H. Lenhard|Huazhong University of Science and Technology
Arrigo Cellina|Washington State University Pullman
Timothy Miles-Board|Indian Institute of Technology Delhi
Lee Naish|Northwestern University
Lukasz Golab|Georgia Regents University
Kay A. Robbins|University of Alabama   Tuscaloosa
V. Dupuis|University of Wyoming
Agnieszka Barbara Kolasinska|Technical University of Berlin
Andrzej Blikle|University of Kentucky
Amel Benna|Stellenbosch University
Elisabeth Rakus-Andersson|Polytechnic University of Catalonia
Alan F. Blackwell|University of Queensland
Abderrafiaa Koukam|Tohoku University
W. A. Gray|Pennsylvania State University University Park
Cristina Estéban|University of Rennes 1
Jakub Simko|Central South University
Bernhard Steffen|University of Marburg
Claudia Raibulet|University of Nottingham
Soumendu Chakraborty|Radboud University Nijmegen
Ondrej Soukup|Thomas Jefferson University
Jifu Zhang|Polytechnic University of Valencia
Markus Zanker|St George's University of London
Emmanuelle Anceaume|Wuhan University
Yves A. Lussier|Rensselaer Polytechnic Institute
Mehdi Ahmed-Nacer|Wesleyan University
Armir Bujari|University of Sussex
Aniruddha S. Gokhale|University of Dundee
Nicolas Usunier|Seoul National University
Flavio Ferrarotti|Dartmouth College
Abderrazzak El Khayari|École Polytechnique
Andrzej M. Goscinski|Delft University of Technology
Kostas Stathis|Concordia University
Renaud Litré|University of Rennes 1
Martin Adams|University of Virginia
Jean-Marc Petit|University of Twente
Yong Ren 0001|University of Siena
Leen Ammeraal|Harvard University
Sylvain Conchon|Beijing Normal University
Alek Felstiner|University of Pennsylvania
Philippe Pucheral|University College Dublin
Okan Topçu|University of Delaware
Ting Yu 0001|Sungkyunkwan University
Teuvo Kohonen|Case Western Reserve University
Pavan Balaji|Darmstadt University of Technology
Stanley B. Zdonik|Bielefeld University
Marius Breitmayer|City University of Hong Kong
Yang Du|University of Tsukuba
Francesco Frulio|Saint Louis University
Oleg V. Shylo|Southeast University
Veronique Smahi|Erasmus University Rotterdam
Carlos Gershenson|University of Minnesota Twin Cities
Nico Hempe|Utrecht University
Una-May O'Reilly|Sogang University
Gustavo Alonso|Albert Ludwig University of Freiburg
Kevin O'Toole|University of Southern Denmark
Rachid Bouaziz|Chulalongkorn University
Renny S. N. Lindberg|Brown University
Phil Kim|Central South University
Ian Arundale|West Virginia University
Boris Katz|University of Florida
Chen Li 0001|Oregon Health & Science University
Unnikrishnan Cheramangalath|Ghent University
Philippe Caillou|University of Manitoba
Albert Y. Zomaya|University of Liège
Nathalie Weidenfeld|University of Cincinnati
Mohamed Benmohammed|Yeshiva University
Massimo Ruffolo|Princeton University
Peng Dong 0001|Pompeu Fabra University
Iskander Kort|École normale supérieure de Lyon
Martin Burger 0001|University of Akron
Emir Muñoz|University of Tübingen
Roland Krause|Rush University
Masoud Daneshtalab|University of North Carolina at Chapel Hill
Romain Rouvoy|University of Marburg
Bingwei Liu|University of Bari Aldo Moro
Takaya Kawakatsu|Indiana University   Bloomington
Mohamed A. Sharaf|University of Manchester
Christine Collet|Swedish University of Agricultural Sciences
Joachim Rathmann|Baylor College of Medicine
Carlo Fantozzi|University of Antwerp
Li Li 0040|Technical University of Denmark
Mauro Barbieri|Vrije Universiteit Brussel
Madusudhanan Bairappan|Rush University
Éric Leclercq|University of Canterbury
Maha Jebalia|Brown University
Juan Pablo Hourcade|Durham University
Wolfgang J. Paul|University of Illinois at Chicago
Dennis S. Bernstein|Queen Mary University of London
Adriano Galati|Chonbuk National University
Davide Rossi|University of Buenos Aires
Louis Hoebel|George Mason University
Philippe Maurant|Juntendo University
Zhengkui Wang|University of Padua
Tommaso Bolognesi|University of Queensland
Martin Swany|Georgia Institute of Technology
Fredrik Milani|University of New Mexico
Jaksa Vuckovic|University of South Florida   Tampa
Denis Iwanesko Didjeko|University of York
Joakim Kävrestad|Georgetown University
Marco Rainone|Hiroshima University
Ralf Kneuper|University of Göttingen
Valentina Semucci|University of California Irvine
Alfredo Cuzzocrea|University of Minnesota Twin Cities
Arunkumar Thangavelu|Medical University of Vienna
Luigi Fornaro|Syracuse University
Yassine El Ghayam|University of Bristol
Edmund K. Burke|Wuhan University
Ravi Jhawar|Pohang University of Science and Technology
Daniel Herrscher|University of Cape Town
Nacera Ghoualmi-Zine|Massachusetts Institute of Technology
Klaus-Dieter Schewe|St George's University of London
Cláudio F. R. Geyer|Kobe University
Jyotishman Pathak|University of Bath
Uppaluri S. R. Murty|Gwangju Institute of Science and Technology
Manoranjan Dash|Rutgers University New Brunswick
Alessandra Cavarra|Eötvös Loránd University
Sabri Allani|University of Pennsylvania
Jagannathan Srinivasan|Nanjing University
Lothar Thiele|University of Maryland Baltimore
Parvaneh Parvin|New Mexico State University
Aref Meddeb|University of Louisville
Peter Pepper|Vanderbilt University
Divyakant Agrawal|Indiana University   Bloomington
Lakhmi C. Jain|Australian National University
Khaled Boussetta|University of Pisa
Francesco Amato|Darmstadt University of Technology
Farhad Norouzi|Huazhong University of Science and Technology
Lilia Idir|University College Cork
Vanga Odelu|University of Nebraska Medical Center
Mercedes Amor|University of Birmingham
Christos Tryfonopoulos|Radboud University Nijmegen
Kamil Borawski|Claude Bernard University Lyon 1
Jean-Pierre Petit|University of Denver
Özlem Özgöbek|University of California San Diego
Giovanni Quattrone|Vanderbilt University
Christian Böhm|Nagoya University
Francisco Dominguez|Medical University of South Carolina
Laetitia Jourdan|University of Hamburg
Jong-Hwan Kim|University of Basel
Igor Bilogrevic|University of Tampere
Mihalis Petropoulos|Stellenbosch University
Hatem Ibn-Khedher|Korea Advanced Institute of Science and Technology (KAIST)
Susan L. Tighe|University of California Riverside
John Longley|University of Texas Medical Branch at Galveston
Marco Manca|University of Dundee
Marc Finthammer|Eötvös Loránd University
Talal H. Noor|Versailles Saint Quentin en Yvelines University
Jari Veijalainen|University of Texas Southwestern Medical Center
Yao Xu|University of Wisconsin–Madison
Wee-Juan Tan|University of Marburg
Lorenzo Monti|Monash University
Eleni Papadaki|Northeastern University
Luca Carlone|Virginia Polytechnic Institute and State University
Gabriele Paolacci|University of Saskatchewan
Kristina Kapanova|Simon Fraser University
Gerry Howser|University of Florida
Walter Rudametkin|University of Delaware
Hercules Dalianis|University of Düsseldorf
Richard Chbeir|University of Guelph
Kalyanmoy Deb|University of Connecticut
Jocelyne Elias|Grenoble Institute of Technology
Andrea Reale|Yokohama City University
Yu Kang 0001|Waseda University
Imran Khaliq|University of Wyoming
Debabrota Basu|Paris Diderot University   Paris 7
Layth Sliman|Grenoble Institute of Technology
Francesco Gennai|University of Liège
Taehyun Kim 0003|Miami University
Xianyi Zhang|University of New Mexico
Zahia Guessoum|University of South Carolina   Columbia
Razak Seidu|University of Groningen
Giacomo Cabri|University of Kansas
Burton S. Garbow|Yokohama National University
Kahina Hassam|Aix Marseille University
Silvia Bertacchi|Otto von Guericke University Magdeburg
Filippo Muzzini|University at Albany SUNY
Mila Nikolova|University of Guelph
Giulia Cavagnoli|University of Illinois at Urbana–Champaign
Vladimir M. Vishnevsky|University of Modena and Reggio Emilia
Fatiha Benali|Huazhong University of Science and Technology
B. C. H. Turton|Federal University of Minas Gerais
Antonio Greco|École normale supérieure de Lyon
Jean Mayo|University of Oklahoma   Norman Campus
Rémy Cazabet|Chalmers University of Technology
Michele Nucci|Kanazawa University
Jean-Charles Pomerol|Lund University
Ziad El Bitar|University of Pennsylvania
Marc Shapiro 0001|University of Konstanz
Arie Shoshani|University of Cincinnati
Sarah Spiekermann-Hoff|University of Texas Medical Branch at Galveston
Xi He 0001|Pierre and Marie Curie University
Elio Mansour|Harbin Institute of Technology
Jaroslav Zendulka|University of Delhi
Patrick Meier|University of Texas at Dallas
Robert Hopp|Purdue University West Lafayette
Aïcha Mokhtari|Versailles Saint Quentin en Yvelines University
Lubica Benuskova|University of Nebraska Omaha
Tanel Tammet|University of Strathclyde
Yun Yang 0001|Julius Maximilian's University of Würzburg
Ramanathan Kavasseri|Pohang University of Science and Technology
Sushmita Paul|Rensselaer Polytechnic Institute
Reza Akbarinia|Kanazawa University
Ian Miguel|Swedish University of Agricultural Sciences
Alice James|Texas A&M University College Station
Y. Parmantier|University of Notre Dame
Nga Nguyen Thi|University of Texas Southwestern Medical Center
Mohamed F. Mokbel|London School of Economics
Thomas Polacsek|Johannes Gutenberg University of Mainz
Dacheng Liu|Tokyo University of Science
Holger Kaschner|Paris Diderot University   Paris 7
Werner Schafhauser|Kyungpook National University
Atif M. Memon|Catholic University of the Sacred Heart
Angélica de Antonio|University of Pittsburgh   Pittsburgh Campus
Sangeet Saha|Innsbruck Medical University
Ramesh C. Jain|Southern Methodist University
Mrutyunjaya Panda|University of California Irvine
Stefan Wild|University of Bordeaux II
Enrique Alba 0001|Washington University in St. Louis
Laurent Guittet|University of Valencia
David Link|University of Kiel
Stefano Cimmino|University of São Paulo
Hendrik Decker|Autonomous University of Barcelona
Alexander Gornov|Columbia University
Andrea Lodi 0001|University of Guelph
Marian Borek|Tokyo University of Science
Thomas R. Gross|Tokyo Medical and Dental University
Lukas Gruber|Tufts University
Anne Benoit|University of Iowa
Clemens Pechstein|Wesleyan University
Christopher G. Harris 0001|University of Düsseldorf
Edward L. Deci|University of Nevada Reno
Tomohisa Yamaguchi|Delft University of Technology
Daniel Knorreck|University of KwaZulu Natal
Dirk Helbing|Technical University of Munich
Nicolas Durand 0001|University of Colorado Denver
William R. B. Lionheart|University of Florence
Norberto Mondragón|City College of New York
Ron Cytron|University of California Davis
Jihong Guan|Concordia University
Stuart Dillon|Albert Ludwig University of Freiburg
Stuart Reeves|University of São Paulo
Gerhard Friedrich|University of Southampton
Ben He|University of Münster
Lukasz Kaiser|Saarland University
Pierre Senellart|University of Edinburgh
Hans Weda|Texas A&M University College Station
Reza Ghorbani|Erasmus University Rotterdam
Edmond Bianco|Baylor College of Medicine
Kelsey Karpinski|Tianjin University
Paul De Bra|City University London
Mohamad Kanaan|Trinity College Dublin
Paul Hertz|University of Pennsylvania
Giancarlo Succi|University of British Columbia
Chang Zhao|Osaka University
Than Van Le|University of KwaZulu Natal
Jaakko Astola|Wayne State University
Valérie Issarny|University of Twente
Ashwin Machanavajjhala|Macquarie University
Hui Jin 0001|Tianjin University
Christoph G. Jung|Uppsala University
Georg Rainer Hofmann|Concordia University
Hai-Tao Zhang|Stellenbosch University
Wolfgang Deiters|King Saud University
Jirí Soukup|University of Marburg
Wooju Kim|University of Bonn
Aboubacar Cissé|Stony Brook University
Erfan Sheikhi|University of Science and Technology of China
Henri Prade|Pompeu Fabra University
Jürgen Pliquett|Paris Diderot University   Paris 7
Ming-Syan Chen|Tokyo Medical and Dental University
Utkarsh Tiwari|Kobe University
Terry Moore|University of Bern
Owen Burkinshaw|Hong Kong University of Science and Technology
Hélio Lopes dos Santos|University of New South Wales
Wei-Min Shen|University of Alabama at Birmingham
Peter Tseng|University of Liverpool
Stefan Martin Frenz|Kansas State University
Bei Guan|Rush University
Oleg A. Prokopyev|Wayne State University
Abdelwahab Hamou-Lhadj|Delft University of Technology
